Sector,company_name,location,start_date,duration,stipend,skills
Digital Marketing,Grail Maker Innovations,Hyderabad,Immediately,6 Months,"? 7,000 /month +  Incentives","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Swift Development,Sinplay Private Limited,Work From Home,Immediately,6 Months,"? 20,000 /month","Swift, iOS, Xcode, UIKit"
Social Media Marketing,Ampleline,Jaipur,Immediately,6 Months,"? 8,000-15,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Social Media Marketing,HAGG Mill Store Private Limited,Noida,Immediately,6 Months,"? 5,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Digital Marketing,Big Guy Business Consulting Inc,Work From Home,Immediately,6 Months,"? 10,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Mobile App Development,Reubro International,Kochi,Immediately,6 Months,"? 8,000 /month","Mobile Development, UI/UX, REST APIs, Git"
Human Resources (HR),Rankson Incorporation,Pitampura,Immediately,6 Months,"? 7,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Digital Marketing,Xpert,Kolkata,Immediately,6 Months,"? 20,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Law/Legal,Consumers Congress,Delhi,Immediately,6 Months,"? 1,500-5,000 /month","Legal Research, Contract Drafting, Legal Writing, Compliance, Case Analysis, Regulatory Compliance"
Research,Jarvis Technology & Strategy Consulting,Delhi,Immediately,6 Months,"? 20,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Video Making/Editing,Sudha Reddy,Work From Home,Immediately,6 Months,"? 5,000-15,000 /month","Video Production, Editing Software, Storytelling, Camera Skills, Editing, Proofreading, Grammar, Attention to Detail"
Content Management,Patientlyours.,Work From Home,Immediately,6 Months,"? 3,000 lump sum","Leadership, Communication, Planning, MS Office, Problem Solving"
Human Resources (HR),People Konnect Private Limited,Mumbai,Immediately,6 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Marketing,Datsme,Work From Home,Immediately,6 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Facebook Marketing,iWebbies Web Solution Private Limited,Noida,Immediately,6 Months,"? 12,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Quality Analysis & Quality Control,Solitaire Drugs And Pharma Private Limited (Food And Beverage Division),Kashipur,Immediately,3 Months,"? 2,000-5,000 /month","Quality Assurance, Attention to Detail, Documentation, Testing"
Digital Marketing,Ken Research,Gurgaon,Immediately,3 Months,"? 15,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
IT Recruitment,Wroots Global Private Limited,Bangalore,Immediately,3 Months,"? 8,000 /month","Sourcing, Communication, LinkedIn, ATS, Screening"
Content Writing & Reviewing,ShortHills Tech Private Limited,Gurgaon,Immediately,3 Months,"? 10,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Social Media Marketing,ThinkMerit,Work From Home,Immediately,3 Months,"? 2,000-5,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Core PHP & Laravel Development,Flair Insights,Work From Home,Immediately,3 Months,"? 2,000-3,000 /month","PHP, Laravel, MySQL, REST APIs, Web Development"
Web Development,"Bomb Consultancy (London, United Kingdom)",Work From Home,Immediately,3 Months,"? 5,000 /month","HTML, CSS, JavaScript, Git, Responsive Design"
Mathematics Content Development,Lawtech,Work From Home,Immediately,3 Months,"? 8,000-10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Academic Counseling (Telecalling),Lawtech,Work From Home,Immediately,3 Months,"? 10,000 /month","Communication, CRM, Sales Pitch, Customer Service, Negotiation, Counseling, Active Listening, Empathy"
Email Marketing,Lawtech,Work From Home,Immediately,3 Months,"? 5,000-7,000 /month","Email Campaigns, Copywriting, Mailchimp, Analytics, A/B Testing, Marketing Strategy, Communication, Content Creation"
PHP/Zoho Development,InsightCrew,Chandigarh,Immediately,3 Months,"? 6,000 /month","Zoho, Low-Code Development, Business Applications, PHP, MySQL, Laravel, Web Development"
Social Media Marketing,INFINITIO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Work From Home,Immediately,3 Months,"? 5,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Fintech Java Dev,"Alphamolly (London, United Kingdom)",Work From Home,Immediately,3 Months,£ 50 /month,"Java, OOP, Data Structures"
Office Assistance (Travel Firm),Fiers Energy & Infrastructure Consultancy & Services Private Limited,Work From Home,Immediately,3 Months,"? 2,000 /month","Travel Knowledge, Communication, Customer Service, Booking Systems, MS Office, Organization, Filing, Scheduling"
Graphic Design (iPad Art),Lawtech,Work From Home,Immediately,3 Months,"? 8,000-10,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Subject Matter Expert (SME) (English),GEMA Education Technology Private Limited,Work From Home,Immediately,3 Months,"? 1,000 /month","Domain Expertise, Teaching, Content Development, Communication"
Video Editing,Tent N' Trails,Work From Home,Immediately,3 Months,"? 5,000-7,500 /month","Adobe Premiere Pro, After Effects, DaVinci Resolve, Color Grading, Storytelling, Editing, Proofreading, Grammar"
AI Psychology,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"? 2,000 /month","Psychology, Research, Counseling, Data Analysis, Communication, Python, Machine Learning, Problem Solving"
Product Management,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"? 2,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Business Analytics,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"? 2,000 /month","SQL, Excel, Data Visualization, Requirements Gathering, Communication"
Business Innovation,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"? 2,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Social Media Management & Content Writing,Swagsta,Work From Home,Immediately,3 Months,"? 5,000 /month","Writing, Research, SEO, Grammar, Creativity, Social Media Platforms, Content Creation, Canva"
C++ Developer,"Akhilesh Gogikar (Houston, United States)",Work From Home,Immediately,3 Months,"? 10,000 /month","C++, OOP, Data Structures, Algorithms"
Business Development (Sales),Agnihotri Securities Ltd,Work From Home,Immediately,3 Months,"? 4,500 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Software Development,"Fylo (New York, United States)",Work From Home,Immediately,3 Months,"? 15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Architecture,Anupam Kumar Architects,Varanasi,Immediately,3 Months,"? 10,000 /month","AutoCAD, Revit, SketchUp, Design Thinking, 3D Visualization"
Operations Management,CipherSchools,Chandigarh,Immediately,3 Months,"? 10,000-15,000 /month","Process Optimization, Excel, Communication, Project Management, Leadership, Planning, MS Office, Problem Solving"
Business Development (Sales),Quizzy,Work From Home,Immediately,3 Months,"? 15,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Content Writing (eSports),FirstSportz,Work From Home,Immediately,3 Months,"? 6,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Blogging,Addictive Media,Work From Home,Immediately,3 Months,"? 5,000-8,000 /month","Blog Writing, SEO, Research, WordPress, Content Strategy"
Optoelectronics,Sensorama Technologies LLP,Mumbai,Immediately,3 Months,"? 5,000-20,000 /month","Electronics, Circuit Design, PCB Design, Microcontrollers, MATLAB"
"Trainer - HTML, CSS, JS, Bootstrap",Simple Enterprises,Work From Home,Immediately,3 Months,"? 1,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Stock Market Research,Trading Shalaa,Work From Home,Immediately,3 Months,"? 5,000-10,000 /month","Research, Data Analysis, Survey Design, Excel, Report Writing, Research Methodology, Academic Writing, Literature Review"
Cosmetology SME,Guidofie,Work From Home,Immediately,3 Months,"? 10,000 /month +  Incentives","Communication, Problem Solving, Teamwork, MS Office"
News Reporting,Blackcoffer,Work From Home,Immediately,3 Months,"? 2,000 /month","Report Writing, Data Analysis, MS Office, Communication"
Digital Marketing,Blackcoffer,Work From Home,Immediately,3 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Teaching Robotics,GEMA Education Technology Private Limited,Work From Home,Immediately,3 Months,"? 1,000 /month","Robotics, C/C++/Python, ROS, Sensors, Control Systems, Subject Knowledge, Communication, Patience"
Social Media & Business Development,Physiques By Vinay,Work From Home,Immediately,3 Months,"? 2,000-4,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Social Media Platforms, Content Creation, Canva"
SEO And Website Optimization,Blackcoffer,Work From Home,Immediately,3 Months,"? 6,000 /month","HTML, CSS, JavaScript, Responsive Design, SEO, Google Analytics, Keyword Research, Content Writing"
Ghost Writing,Breakout,Work From Home,Immediately,3 Months,"? 10,000 lump sum","Writing, Research, Grammar, Creativity, Editing"
Information Technology,AntWalk,Work From Home,Immediately,6 Months,"? 10,000-15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Content Writing,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"? 6,000-8,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
AWS DevOps Engineering,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"? 15,000-20,000 /month","Linux, Docker, Kubernetes, CI/CD, AWS/Azure/GCP, Bash, AWS, EC2"
Node.js Development (Backend),Rydeu Logistics UG,Work From Home,Immediately,6 Months,"? 12,000-15,000 /month","Node.js/Python/Java, REST APIs, Databases, Server Management, Node.js, JavaScript, Express.js, MongoDB"
Operations,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"? 10,000-12,000 /month","Process Optimization, Excel, Communication, Project Management"
Logistics And Operations,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"? 10,000-12,000 /month","Process Optimization, Excel, Communication, Project Management, Logistics Management, Supply Chain, Coordination"
B2B Sales,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"? 10,000-15,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Video Editing,Sprite Genix,Work From Home,Immediately,6 Months,"? 5,000 /month","Adobe Premiere Pro, After Effects, DaVinci Resolve, Color Grading, Storytelling, Editing, Proofreading, Grammar"
Graphic Design,"Constructive Solutions, Inc.",Work From Home,Immediately,6 Months,"? 6,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Product Management,LightVue,Rishikesh,Immediately,6 Months,"? 8,000-12,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Human Resources (HR),Web Design Media,Jaipur,Immediately,6 Months,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Business Development (Sales),Outreacherz,Work From Home,Immediately,6 Months,"? 5,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Growth Hacking,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,6 Months,"? 4,000 /month","Growth Hacking, Analytics, A/B Testing, Marketing Automation, SEO"
Young CEO Curriculum Innovation,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,6 Months,"? 2,000 /month","Curriculum Design, Subject Knowledge, Pedagogy, Content Development"
Applied Psychology,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,6 Months,"? 2,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
UX/UI Design,Raecroot Talent Search Solutions Private Limited,Pune,Immediately,6 Months,"? 5,000 /month","Figma, Adobe XD, Visual Design, Typography, Prototyping"
Graphic Design,Tronin',Work From Home,Immediately,6 Months,"? 5,000-10,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Video Making/Editing,KalaSparsh Entertainment,Pune,Immediately,6 Months,"? 5,000 /month +  Incentives","Video Production, Editing Software, Storytelling, Camera Skills, Editing, Proofreading, Grammar, Attention to Detail"
Python (Django) Development,CyberHawkz,Work From Home,Immediately,6 Months,"? 3,000-7,000 /month","Python, OOP, Data Structures, Problem Solving, Django, REST APIs, PostgreSQL, ORM"
Social Media Marketing,Photon WebWorks,Lucknow,Immediately,6 Months,"? 8,000-12,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Business Development (Sports),Primeshift,Work From Home,Immediately,6 Months,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM"
Search Engine Optimization (SEO),Dotmappers It Pvt Lmt,Bangalore,Immediately,6 Months,"? 5,000 /month","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Electrical Engineering,Vaidarbhi Foods,Work From Home,Immediately,6 Months,? 500 lump sum,"Circuit Design, Power Systems, MATLAB, PLC, Electrical Safety"
Training Coordination,UpGrad For Business,Mumbai,Immediately,6 Months,"? 12,000 /month","Training, Communication, Presentation, Subject Knowledge"
Human Resources (HR),Institute Of Management Studies Noida,Noida,Immediately,6 Months,"? 25,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Equity Research,Fairdeal Petrochemical,Mumbai,Immediately,6 Months,"? 5,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Equity Research, Financial Analysis, Valuation, Excel"
Flutter Mobile App Development,Beanstalkedu Services Private Limited,Work From Home,Immediately,6 Months,"? 15,000 /month","Mobile Development, UI/UX, REST APIs, Git, Flutter, Dart, Mobile UI, Firebase"
